tweet,label
@USER She is right.  Liberals do not listen.  It doesn’t matter what the taxpayer wants Trudeau does not listen.  Maybe to Islam but nothing else,Harmless
@USER @USER @USER Did you just say he? HE has a female name. He is actually a she. Actually get your facts right before making a stupid statement. Everyone knows the game gets stale after a few months and the new DLC makes it interesting again.,Harmful
@USER @USER I'm sure you are not. You just thought it was free 😁 there's nothing wrong with that 😂,Harmless
@USER @USER Liberals mock President Trumps skin color and decapitated his likeness. They also threaten his family. Even Baron.,Harmful
@USER This is absolutely unbelievable.  So these protests and mobs are run out of the state dept.??? How about Antifa?? No wonder they all wear masks. Probably govt. employees using their PTO's.  It would explain how so many people can show up anywhere on a weekday.,Harmless
if i have to tolerate ur loud ass maga merch dont say shit about my nike anything kiss my ass,Harmful
@USER Does anyone care what that dirtbag says???,Harmful
"@USER @USER @USER She's  no poor thing"". She's an antifa protester with many ties to the DNC.   She's a Trump hater. Donated to HRC.  She didn't just ""appear"" out of the blue.  Cracks me up how naive people are.  Toughen up America! These are lying leftists intent on destroying our democracy!""",Harmless
"@USER You &amp; your husband are double-talking hypocrites. We can see right through your gun control"" facade. What you really want is for us to give up our guns while you &amp; your husband get to keep your guns.""",Harmful
@USER Oh the Liberals will shove race in everything!,Harmless
2be clear I fully support free speech.  But especially when libertarians and conservatives are being silenced I don't want to read leftist trash talk in my timeline.  I don't want them censored.  I just don't remember following them.  But it is enough that I can personally block.,Harmless
@USER @USER @USER @USER LMAO! You are still butt hurt that your loser Hitlary lost. Love it. See you at the polls in 2020 Bucky.,Harmful
@USER You @USER speak the Truth about =&gt; #Louis Farrakhan &lt;= ... he is a raging anti-Semite &amp; racist.,Harmful
#TuesdayThoughts Got a gut feeling TWITTER is now in the gunsights of the Government and President Trump for Anti-Trust violations censoring and shaddowbanning Conservatives --- watch for Big News coming out soon.,Harmless
@USER @USER @USER Nobody does racism like the @USER 😮,Harmless
@USER @USER Endless Dreg here...😀😀😀😀@USER 🇺🇸🇺🇸🇺🇸#MAGA    &gt;&gt;&gt;&gt;&gt; @USER &lt;&lt;&lt;&lt;&lt;&lt; Pervert supreme of society,Harmful
@USER @USER I agree he is very intelligent and I like the latest policy of a sovereign wealth fund - something I've long supported. But he just doesn't cut through. Someone like Jo Swinson would get the party more air time imo.,Harmful
@USER Moore just got Don elected again. Liberals never learn. He’s more unlikable than Trump,Harmful
@USER yep i was chatting to them about the clubs i wanted to join at uni and they said i should join antifa as it was something they did as kids,Harmless
@USER Calling b s,Harmless
